affirmer|verb|			Bruno	Hee-Soo	Mathieu		
https://www.cnrtl.fr/definition/2625							
http://kaiko.getalp.org/dbnary/fra/affirmer__verb__1							
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	none	none	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	none	none	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	none	none	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	none	related	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	exact	exact	broader	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	none	none	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	none	none	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	none	none	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	none	none	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	none	none	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	narrower	broader	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	none	related	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	I._B._2.UND-11	Présenter (énergiquement ou nettement) une chose, un fait, une déclaration, etc., comme vrai (conforme à la réalité) ou comme authentique (d'une réalité contrôlée).	related	exact	narrower	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._B._2.UND-11	Présenter (énergiquement ou nettement) une chose, un fait, une déclaration, etc., comme vrai (conforme à la réalité) ou comme authentique (d'une réalité contrôlée).	exact	exact	narrower	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	I._B._2.UND-11	Présenter (énergiquement ou nettement) une chose, un fait, une déclaration, etc., comme vrai (conforme à la réalité) ou comme authentique (d'une réalité contrôlée).	none	none	none	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	I._B._2.UND-11	Présenter (énergiquement ou nettement) une chose, un fait, une déclaration, etc., comme vrai (conforme à la réalité) ou comme authentique (d'une réalité contrôlée).	related	related	none	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	I._B._2.UND-11	Présenter (énergiquement ou nettement) une chose, un fait, une déclaration, etc., comme vrai (conforme à la réalité) ou comme authentique (d'une réalité contrôlée).	none	none	none	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	I._B._2.UND-11	Présenter (énergiquement ou nettement) une chose, un fait, une déclaration, etc., comme vrai (conforme à la réalité) ou comme authentique (d'une réalité contrôlée).	none	related	none	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	I._B._2.a)UND-10	Énoncer un jugement positif	broader	none	none	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._B._2.a)UND-10	Énoncer un jugement positif	exact	related	none	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	I._B._2.a)UND-10	Énoncer un jugement positif	none	none	none	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	I._B._2.a)UND-10	Énoncer un jugement positif	none	none	none	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	I._B._2.a)UND-10	Énoncer un jugement positif	none	none	none	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	I._B._2.a)UND-10	Énoncer un jugement positif	none	none	none	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	I._B._2.a)UND-7	PHILOS. [Le compl. est un mot exprimant l'idée de vérité ou son contraire]  Exprimer nettement	related	broader	related	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._B._2.a)UND-7	PHILOS. [Le compl. est un mot exprimant l'idée de vérité ou son contraire]  Exprimer nettement	narrower	none	related	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	I._B._2.a)UND-7	PHILOS. [Le compl. est un mot exprimant l'idée de vérité ou son contraire]  Exprimer nettement	none	none	none	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	I._B._2.a)UND-7	PHILOS. [Le compl. est un mot exprimant l'idée de vérité ou son contraire]  Exprimer nettement	narrower	exact	related	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	I._B._2.a)UND-7	PHILOS. [Le compl. est un mot exprimant l'idée de vérité ou son contraire]  Exprimer nettement	none	none	none	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	I._B._2.a)UND-7	PHILOS. [Le compl. est un mot exprimant l'idée de vérité ou son contraire]  Exprimer nettement	none	exact	none	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	I._B._2.a)UND-9	[Fréq. en partic. dans la lang. philos. ou théol.] Formuler énergiquement ou nettement une vérité (positive ou négative)	related	exact	related	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._B._2.a)UND-9	[Fréq. en partic. dans la lang. philos. ou théol.] Formuler énergiquement ou nettement une vérité (positive ou négative)	narrower	exact	exact	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	I._B._2.a)UND-9	[Fréq. en partic. dans la lang. philos. ou théol.] Formuler énergiquement ou nettement une vérité (positive ou négative)	none	none	related	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	I._B._2.a)UND-9	[Fréq. en partic. dans la lang. philos. ou théol.] Formuler énergiquement ou nettement une vérité (positive ou négative)	narrower	exact	narrower	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	I._B._2.a)UND-9	[Fréq. en partic. dans la lang. philos. ou théol.] Formuler énergiquement ou nettement une vérité (positive ou négative)	none	none	none	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	I._B._2.a)UND-9	[Fréq. en partic. dans la lang. philos. ou théol.] Formuler énergiquement ou nettement une vérité (positive ou négative)	none	related	none	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	I._B._UND-6	[Le jugement est un jugement de valeur]  Présenter nettement une chose comme bonne	none	exact	related	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._B._UND-6	[Le jugement est un jugement de valeur]  Présenter nettement une chose comme bonne	narrower	exact	related	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	I._B._UND-6	[Le jugement est un jugement de valeur]  Présenter nettement une chose comme bonne	none	none	related	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	I._B._UND-6	[Le jugement est un jugement de valeur]  Présenter nettement une chose comme bonne	related	none	narrower	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	I._B._UND-6	[Le jugement est un jugement de valeur]  Présenter nettement une chose comme bonne	none	none	none	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	I._B._UND-6	[Le jugement est un jugement de valeur]  Présenter nettement une chose comme bonne	none	none	none	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	II._A._2.UND-21	[Le suj. désigne une ou plusieurs pers. ou un aspect de leur personnalité] Se manifester et s'imposer avec vigueur	none	none	none	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	II._A._2.UND-21	[Le suj. désigne une ou plusieurs pers. ou un aspect de leur personnalité] Se manifester et s'imposer avec vigueur	none	none	none	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	II._A._2.UND-21	[Le suj. désigne une ou plusieurs pers. ou un aspect de leur personnalité] Se manifester et s'imposer avec vigueur	none	none	none	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	II._A._2.UND-21	[Le suj. désigne une ou plusieurs pers. ou un aspect de leur personnalité] Se manifester et s'imposer avec vigueur	none	related	none	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
